Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất
Hạt điều,Hạt tươi,Đắk Lắk,2026-04-16,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-04-16,27800,27800
Hạt điều,Hạt tươi,Gia Lai,2026-04-16,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-04-16,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-04-16,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-04-16,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-04-16,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-04-16,290000,380000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-04-16,230000,320000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-04-16,185000,260000
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-04-16,276780,337408
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-04-16,224060,284688
