Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Thái,,Toàn thị trường,2026-03-30,150000.0,160000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,130000.0,145000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,120000.0,120000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,88000.0,100000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,115000.0,125000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,55000.0,65000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,60000.0,70000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,50000.0,50000.0,đ/kg
Thái,,Toàn thị trường,2026-03-30,95000.0,105000.0,đ/kg
Ri6,,Toàn thị trường,2026-03-30,80000.0,86000.0,đ/kg
Ri6,,Toàn thị trường,2026-03-30,65000.0,71000.0,đ/kg
Ri6,,Toàn thị trường,2026-03-30,60000.0,65000.0,đ/kg
Ri6,,Toàn thị trường,2026-03-30,50000.0,55000.0,đ/kg
Ri6,,Toàn thị trường,2026-03-30,17000.0,22000.0,đ/kg
Musang King,,Toàn thị trường,2026-03-30,133000.0,140000.0,đ/kg
Musang King,,Toàn thị trường,2026-03-30,110000.0,113000.0,đ/kg
Chuồng Bò,,Toàn thị trường,2026-03-30,70000.0,85000.0,đ/kg
Chuồng Bò,,Toàn thị trường,2026-03-30,55000.0,70000.0,đ/kg
Chuồng Bò,,Toàn thị trường,2026-03-30,115000.0,120000.0,đ/kg
Sáu Hữu,,Toàn thị trường,2026-03-30,150000.0,160000.0,đ/kg
