Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Ri6,A,Toàn thị trường,2026-04-19,80000.0,86000.0,đ/kg
Ri6,B,Toàn thị trường,2026-04-19,65000.0,70000.0,đ/kg
Thái,VIP A,Toàn thị trường,2026-04-19,120000.0,130000.0,đ/kg
Thái,VIP B,Toàn thị trường,2026-04-19,100000.0,110000.0,đ/kg
Thái,A,Toàn thị trường,2026-04-19,110000.0,120000.0,đ/kg
Thái,B,Toàn thị trường,2026-04-19,95000.0,100000.0,đ/kg
Musang King,A,Toàn thị trường,2026-04-19,170000.0,180000.0,đ/kg
Chuồng Bò,A,Toàn thị trường,2026-04-19,70000.0,75000.0,đ/kg
Ri6,C,Toàn thị trường,2026-04-19,45000.0,55000.0,đ/kg
Musang King,B,Toàn thị trường,2026-04-19,105000.0,120000.0,đ/kg
